#LECROYWR610Zi	1	Histogram Time:15.6286s
#Segments	1	SegmentSize	100
#Segment	TrigTime	TimeSinceSegment1
#1	07-Aug-2018 13:51:03	0                 
Time	Ampl
-0.0099	0
-0.0094	0
-0.0089	0
-0.0084	0
-0.0079	0
-0.0074	0
-0.0069	0
-0.0064	0
-0.0059	0
-0.0054	0
-0.0049	0
-0.0044	0
-0.0039	0
-0.0034	0
-0.0029	0
-0.0024	0
-0.0019	0
-0.0014	0
-0.0009	0
-0.0004	0
0.0001	0
0.0006	0
0.0011	0
0.0016	0
0.0021	0
0.0026	0
0.0031	0
0.0036	0
0.0041	0
0.0046	1
0.0051	4
0.0056	63
0.0061	151
0.0066	140
0.0071	62
0.0076	32
0.0081	23
0.0086	16
0.0091	12
0.0096	7
0.0101	11
0.0106	3
0.0111	1
0.0116	10
0.0121	4
0.0126	10
0.0131	28
0.0136	62
0.0141	83
0.0146	94
0.0151	63
0.0156	34
0.0161	18
0.0166	7
0.0171	9
0.0176	3
0.0181	3
0.0186	4
0.0191	1
0.0196	2
0.0201	1
0.0206	0
0.0211	3
0.0216	4
0.0221	0
0.0226	3
0.0231	2
0.0236	3
0.0241	2
0.0246	4
0.0251	4
0.0256	8
0.0261	0
0.0266	0
0.0271	1
0.0276	0
0.0281	0
0.0286	0
0.0291	1
0.0296	0
0.0301	0
0.0306	0
0.0311	0
0.0316	0
0.0321	0
0.0326	1
0.0331	0
0.0336	0
0.0341	0
0.0346	0
0.0351	0
0.0356	1
0.0361	0
0.0366	0
0.0371	0
0.0376	0
0.0381	0
0.0386	0
0.0391	0
0.0396	0
