#LECROYWR610Zi	1	Histogram Time:397.7 T=233
#Segments	1	SegmentSize	100
#Segment	TrigTime	TimeSinceSegment1
#1	07-Aug-2018 16:46:12	0                 
Time	Ampl
-0.0064	0
-0.0054	0
-0.0044	0
-0.0034	0
-0.0024	0
-0.0014	0
-0.0004	0
0.0006	0
0.0016	0
0.0026	0
0.0036	0
0.0046	0
0.0056	0
0.0066	0
0.0076	0
0.0086	0
0.0096	0
0.0106	0
0.0116	0
0.0126	0
0.0136	0
0.0146	3
0.0156	0
0.0166	1
0.0176	1
0.0186	0
0.0196	0
0.0206	0
0.0216	1
0.0226	0
0.0236	1
0.0246	0
0.0256	1
0.0266	1
0.0276	0
0.0286	1
0.0296	10
0.0306	29
0.0316	52
0.0326	57
0.0336	39
0.0346	18
0.0356	6
0.0366	1
0.0376	0
0.0386	0
0.0396	0
0.0406	0
0.0416	0
0.0426	1
0.0436	0
0.0446	0
0.0456	0
0.0466	0
0.0476	0
0.0486	0
0.0496	0
0.0506	0
0.0516	0
0.0526	0
0.0536	0
0.0546	0
0.0556	0
0.0566	1
0.0576	3
0.0586	8
0.0596	7
0.0606	8
0.0616	14
0.0626	2
0.0636	2
0.0646	0
0.0656	1
0.0666	0
0.0676	0
0.0686	1
0.0696	36
0.0706	9
0.0716	2
0.0726	1
0.0736	0
0.0746	0
0.0756	0
0.0766	0
0.0776	0
0.0786	0
0.0796	0
0.0806	0
0.0816	0
0.0826	0
0.0836	0
0.0846	0
0.0856	0
0.0866	0
0.0876	0
0.0886	0
0.0896	0
0.0906	0
0.0916	0
0.0926	0
