#LECROYWR610Zi	1	Histogram Time:57.9785s
#Segments	1	SegmentSize	100
#Segment	TrigTime	TimeSinceSegment1
#1	07-Aug-2018 14:02:47	0                 
Time	Ampl
0.00364	0
0.00374	0
0.00384	0
0.00394	0
0.00404	0
0.00414	0
0.00424	0
0.00434	0
0.00444	0
0.00454	0
0.00464	0
0.00474	0
0.00484	0
0.00494	0
0.00504	0
0.00514	0
0.00524	0
0.00534	0
0.00544	0
0.00554	0
0.00564	0
0.00574	0
0.00584	0
0.00594	0
0.00604	0
0.00614	0
0.00624	0
0.00634	0
0.00644	2
0.00654	1
0.00664	7
0.00674	8
0.00684	12
0.00694	19
0.00704	21
0.00714	37
0.00724	42
0.00734	52
0.00744	71
0.00754	71
0.00764	69
0.00774	69
0.00784	68
0.00794	41
0.00804	44
0.00814	51
0.00824	34
0.00834	37
0.00844	39
0.00854	26
0.00864	24
0.00874	14
0.00884	15
0.00894	10
0.00904	16
0.00914	8
0.00924	11
0.00934	8
0.00944	15
0.00954	7
0.00964	8
0.00974	8
0.00984	3
0.00994	3
0.01004	2
0.01014	2
0.01024	2
0.01034	3
0.01044	3
0.01054	4
0.01064	1
0.01074	3
0.01084	2
0.01094	0
0.01104	1
0.01114	0
0.01124	0
0.01134	0
0.01144	2
0.01154	0
0.01164	0
0.01174	1
0.01184	1
0.01194	0
0.01204	0
0.01214	0
0.01224	0
0.01234	0
0.01244	0
0.01254	0
0.01264	0
0.01274	0
0.01284	0
0.01294	0
0.01304	0
0.01314	0
0.01324	0
0.01334	0
0.01344	1
0.01354	0
