#LECROYWR610Zi	1	Histogram Time:16.2248s
#Segments	1	SegmentSize	100
#Segment	TrigTime	TimeSinceSegment1
#1	07-Aug-2018 13:53:16	0                 
Time	Ampl
-0.00016	0
4e-005	0
0.00024	0
0.00044	0
0.00064	0
0.00084	0
0.00104	0
0.00124	0
0.00144	0
0.00164	0
0.00184	0
0.00204	0
0.00224	0
0.00244	0
0.00264	0
0.00284	0
0.00304	0
0.00324	0
0.00344	0
0.00364	0
0.00384	0
0.00404	0
0.00424	0
0.00444	0
0.00464	0
0.00484	0
0.00504	0
0.00524	1
0.00544	4
0.00564	8
0.00584	29
0.00604	54
0.00624	78
0.00644	78
0.00664	78
0.00684	71
0.00704	65
0.00724	28
0.00744	27
0.00764	12
0.00784	16
0.00804	11
0.00824	12
0.00844	7
0.00864	2
0.00884	1
0.00904	4
0.00924	4
0.00944	3
0.00964	4
0.00984	5
0.01	13
0.0102	20
0.0104	15
0.0106	16
0.0108	30
0.011	32
0.0112	40
0.0114	36
0.0116	35
0.0118	28
0.012	24
0.0122	24
0.0124	19
0.0126	12
0.0128	11
0.013	10
0.0132	3
0.0134	6
0.0136	5
0.0138	4
0.014	4
0.0142	2
0.0144	2
0.0146	1
0.0148	0
0.015	1
0.0152	0
0.0154	0
0.0156	0
0.0158	0
0.016	0
0.0162	0
0.0164	0
0.0166	0
0.0168	1
0.017	0
0.0172	0
0.0174	0
0.0176	0
0.0178	1
0.018	1
0.0182	0
0.0184	0
0.0186	0
0.0188	1
0.019	0
0.0192	0
0.0194	0
0.0196	0
